device_type time pose pose-last_pose vel comanded_vel Nocap_C_vel
E 2292.599694802 86.0 0.0 102.03612266438239 609.5933333333334 100
H 2292.603652434 23.0 0.0 142.55187819128508 219.85333333333335 100
E 2292.648811184 91.0 0.0 101.79902909026664 609.5933333333334 100
H 2292.652667148 30.0 0.0 142.8142577760415 239.84000000000003 100
E 2292.707499688 96.0 0.0 85.1955606158034 609.5933333333334 100
H 2292.711355274 39.0 0.0 153.3529968222819 259.8266666666667 100
E 2292.756502124 100.0 0.0 81.62859495446165 609.5933333333334 100
H 2292.760542230 47.0 0.0 162.64474671008568 269.82 100
E 2292.805504196 104.0 0.0 81.62920131155978 619.5866666666667 100
H 2292.809446428 55.0 0.0 163.58513843758152 289.8066666666667 100
E 2292.854620620 108.0 0.0 81.4391536326109 619.5866666666667 100
H 2292.858665570 63.0 0.0 162.5383880106942 309.79333333333335 100
E 2292.913309222 112.0 0.0 68.15633468309409 639.5733333333334 100
H 2292.917253232 71.0 0.0 136.54752087608637 309.79333333333335 100
E 2292.962311448 115.0 0.0 61.22170858105192 649.5666666666667 100
H 2292.966168000 78.0 0.0 143.10606563636355 329.78000000000003 100
E 2293.031313660 118.0 0.0 43.47686708957192 659.5600000000001 100
H 2293.035176568 84.0 0.0 86.9457253478143 349.7666666666667 100
E 2293.080983602 121.0 0.0 60.398701492298414 669.5533333333334 100
H 2293.084748874 90.0 0.0 121.03532161724956 319.7866666666667 100
E 2293.139118602 123.0 0.0 34.40268340917555 669.5533333333334 100
H 2293.142918650 96.0 0.0 103.14634871572747 229.8466666666667 100
E 2293.188120996 123.0 0.0 0.0 579.6133333333333 100
H 2293.191799272 96.0 0.0 0.0 149.9 100
E 2293.237123026 123.0 0.0 0.0 479.68000000000006 100
H 2293.240798516 96.0 0.0 0.0 39.973333333333336 39.973333333333336
E 2293.286239296 123.0 0.0 0.0 399.73333333333335 100
H 2293.289931390 96.0 0.0 0.0 0 0
E 2293.344927968 122.0 0.0 -17.039063347754595 249.83333333333334 100
H 2293.348693660 96.0 0.0 0.0 0 0
E 2293.393930082 123.0 0.0 20.40728283666845 109.92666666666668 100
H 2293.397824854 95.0 0.0 -20.353667773682467 0 0
E 2293.442932336 122.0 0.0 -20.40722453306586 0 0
H 2293.446698336 95.0 0.0 0.0 0 0
E 2293.492048816 120.0 0.0 -40.71953038974514 0 0
H 2293.495814396 95.0 0.0 0.0 0 0
E 2293.550737250 116.0 0.0 -68.15652978571194 -109.92666666666668 -100
H 2293.554601054 95.0 0.0 0.0 0 0
E 2293.599739532 111.0 0.0 -102.03606436135846 -139.90666666666667 -100
H 2293.603506904 95.0 0.0 0.0 0 0
E 2293.648742038 105.0 0.0 -122.44271752179725 -109.92666666666668 -100
H 2293.652654296 95.0 0.0 0.0 0 0
E 2293.697858294 100.0 0.0 -101.7992902387264 -109.92666666666668 -100
H 2293.701626156 95.0 0.0 0.0 0 0
E 2293.756546700 94.0 0.0 -102.23484345464934 -119.92000000000002 -100
H 2293.760225424 95.0 0.0 0.0 0 0
E 2293.805548912 90.0 0.0 -81.62896809599211 -139.90666666666667 -100
H 2293.809325160 95.0 0.0 0.0 0 0
E 2293.854551334 85.0 0.0 -102.03577284439747 -159.89333333333335 -100
H 2293.858230520 94.0 0.0 -20.44765645322569 -19.986666666666668 -19.986666666666668
E 2293.903666610 80.0 0.0 -101.80132144616856 -139.90666666666667 -100
H 2293.907437972 92.0 0.0 -40.64425038691287 -59.96000000000001 -59.96000000000001
E 2293.962356052 74.0 0.0 -102.23303878093124 -79.94666666666667 -79.94666666666667
H 2293.966035280 88.0 0.0 -68.2625215477822 -89.94000000000001 -89.94000000000001
E 2294.031358334 70.0 0.0 -57.96909731194315 -9.993333333333334 -9.993333333333334
H 2294.034944882 84.0 0.0 -58.04706287515028 -79.94666666666667 -79.94666666666667
E 2294.080360602 67.0 0.0 -61.22165610771726 0 0
H 2294.084192304 81.0 0.0 -60.91689428940126 -79.94666666666667 -79.94666666666667
E 2294.129476802 67.0 0.0 0.0 0 0
H 2294.133153622 77.0 0.0 -81.69714712372962 -79.94666666666667 -79.94666666666667
E 2294.188165558 67.0 0.0 0.0 49.96666666666667 49.96666666666667
H 2294.191946846 73.0 0.0 -68.03505111398934 -79.94666666666667 -79.94666666666667
E 2294.237167770 68.0 0.0 20.40724202418741 119.92000000000002 100
H 2294.240844646 70.0 0.0 -61.352453484803476 -99.93333333333334 -99.93333333333334
E 2294.286170150 69.0 0.0 20.407172059691728 139.90666666666667 100
H 2294.289846298 66.0 0.0 -81.62990096701604 -119.92000000000002 -100
E 2294.335285412 71.0 0.0 40.720540185855135 199.86666666666667 100
H 2294.339062878 62.0 0.0 -81.27342452537705 -139.90666666666667 -100
E 2294.393975050 73.0 0.0 34.077565787658976 259.8266666666667 100
H 2294.397651184 57.0 0.0 -85.34126246928166 -179.88000000000002 -100
E 2294.442977206 75.0 0.0 40.81453069133265 269.82 100
H 2294.446758102 53.0 0.0 -81.45491842957787 -189.87333333333333 -100
E 2294.491979418 77.0 0.0 40.814484047996054 259.8266666666667 100
