device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T
E 1437.353648512 119.0 100.0 22.0 50 40
H 1437.357590464 3.0 8.0 33.0 50 40
E 1437.402650696 121.0 100.0 22.0 50 40
H 1437.406719922 3.0 8.0 31.0 50 40
E 1437.451767022 122.0 100.0 22.0 50 40
H 1437.455710514 3.0 7.0 30.0 50 40
E 1437.510455582 123.0 100.0 21.0 50 40
H 1437.514397632 4.0 7.0 28.0 50 40
E 1437.559457920 123.0 100.0 20.0 50 40
H 1437.563401482 4.0 7.0 26.0 50 40
E 1437.608459978 123.0 100.0 20.0 50 40
H 1437.612633728 4.0 7.0 24.0 50 40
E 1437.657576164 124.0 100.0 20.0 50 40
H 1437.661519502 4.0 6.0 24.0 50 40
E 1437.716264934 124.0 100.0 19.0 50 40
H 1437.720209154 4.0 6.0 22.0 50 40
E 1437.765267258 124.0 100.0 18.0 50 40
H 1437.769311718 4.0 6.0 21.0 50 40
E 1437.814269736 124.0 100.0 16.0 50 40
H 1437.818344198 4.0 6.0 22.0 50 40
E 1437.863939020 123.0 100.0 15.0 50 40
H 1437.867880692 4.0 6.0 23.0 50 40
E 1437.922074230 124.0 98.0 14.0 50 40
H 1437.925840300 4.0 6.0 25.0 50 40
E 1437.971076638 123.0 86.0 14.0 50 40
H 1437.974973636 4.0 6.0 28.0 50 40
E 1438.040078738 123.0 76.0 15.0 50 40
H 1438.043755250 4.0 6.0 30.0 50 40
E 1438.089194462 123.0 68.0 18.0 50 40
H 1438.092872920 4.0 6.0 30.0 50 40
E 1438.147883974 121.0 59.0 24.0 50 40
H 1438.151790002 4.0 6.0 33.0 50 40
E 1438.196886032 119.0 52.0 27.0 50 40
H 1438.200649918 4.0 6.0 35.0 50 40
E 1438.245888146 117.0 46.0 31.0 50 40
H 1438.249786530 5.0 6.0 35.0 50 40
E 1438.295004038 116.0 41.0 37.0 50 40
H 1438.298770374 5.0 6.0 39.0 50 40
E 1438.353693172 113.0 37.0 43.0 50 40
H 1438.357602882 5.0 7.0 45.0 50 40
E 1438.402695384 112.0 34.0 46.0 50 40
H 1438.406461048 5.0 7.0 45.0 50 40
E 1438.451697792 109.0 32.0 50.0 50 40
H 1438.455465822 5.0 7.0 45.0 50 40
E 1438.500813208 107.0 29.0 53.0 50 40
H 1438.504709170 5.0 7.0 46.0 50 40
E 1438.559502482 104.0 27.0 58.0 50 40
H 1438.563411814 5.0 7.0 48.0 50 40
E 1438.608505044 101.0 26.0 64.0 50 40
H 1438.612269574 4.0 7.0 49.0 50 40
E 1438.657507032 99.0 25.0 71.0 50 40
H 1438.661185672 3.0 7.0 51.0 50 40
E 1438.706622588 94.0 24.0 77.0 50 40
H 1438.710300878 3.0 7.0 52.0 50 40
E 1438.765312058 87.0 28.0 75.0 50 40
H 1438.769177752 3.0 7.0 52.0 50 40
E 1438.814314186 83.0 31.0 76.0 50 40
H 1438.817991104 3.0 7.0 50.0 50 40
E 1438.863316300 78.0 31.0 84.0 50 40
H 1438.866994800 3.0 7.0 50.0 50 40
E 1438.912432262 73.0 31.0 89.0 50 40
H 1438.916112400 3.0 7.0 51.0 50 40
E 1438.971121424 67.0 32.0 100.0 50 40
H 1438.974977220 3.0 7.0 53.0 50 40
E 1439.040123482 60.0 38.0 100.0 50 40
H 1439.044074856 3.0 7.0 53.0 50 40
E 1439.089125806 55.0 44.0 99.0 50 40
H 1439.092715420 3.0 8.0 54.0 50 40
E 1439.138241418 50.0 48.0 99.0 50 40
H 1439.141917440 3.0 8.0 54.0 50 40
E 1439.196930832 46.0 52.0 100.0 50 40
H 1439.200786082 3.0 8.0 52.0 50 40
E 1439.245933058 42.0 58.0 100.0 50 40
H 1439.249788406 3.0 8.0 52.0 50 40
E 1439.294935536 40.0 61.0 100.0 50 40
H 1439.299008220 3.0 9.0 53.0 50 40
E 1439.344050952 39.0 62.0 100.0 50 40
H 1439.347905180 3.0 10.0 57.0 50 40
E 1439.402740198 39.0 60.0 100.0 50 40
H 1439.406594678 3.0 11.0 60.0 50 40
E 1439.451742298 38.0 59.0 100.0 50 40
H 1439.455597744 3.0 11.0 59.0 50 40
E 1439.500744762 36.0 59.0 100.0 50 40
H 1439.504686560 3.0 12.0 58.0 50 40
E 1439.549860360 34.0 58.0 100.0 50 40
H 1439.553812812 3.0 12.0 58.0 50 40
E 1439.608549522 32.0 56.0 100.0 50 40
H 1439.612403848 3.0 11.0 57.0 50 40
E 1439.657551958 31.0 55.0 100.0 50 40
H 1439.661495828 3.0 11.0 56.0 50 40
E 1439.706554100 30.0 57.0 100.0 50 40
H 1439.710407474 3.0 11.0 55.0 50 40
E 1439.755669810 30.0 59.0 92.0 50 40
H 1439.759348086 3.0 11.0 53.0 50 40
E 1439.814359000 30.0 66.0 79.0 50 40
H 1439.818037080 3.0 11.0 51.0 50 40
E 1439.863361198 31.0 72.0 69.0 50 40
H 1439.867293518 3.0 10.0 50.0 50 40
E 1439.912363438 31.0 77.0 60.0 50 40
H 1439.916039936 3.0 10.0 50.0 50 40
E 1439.962032652 33.0 87.0 53.0 50 40
H 1439.965710970 3.0 10.0 50.0 50 40
E 1440.040168352 33.0 100.0 47.0 50 40
H 1440.044161222 3.0 11.0 49.0 50 40
E 1440.089170550 35.0 100.0 42.0 50 40
H 1440.092935318 3.0 11.0 50.0 50 40
E 1440.138172790 39.0 100.0 38.0 50 40
H 1440.142026584 3.0 11.0 51.0 50 40
E 1440.187288612 42.0 100.0 35.0 50 40
H 1440.191244858 3.0 12.0 56.0 50 40
E 1440.245977774 47.0 100.0 32.0 50 40
H 1440.249920846 3.0 12.0 63.0 50 40
E 1440.294980140 51.0 100.0 30.0 50 40
H 1440.298834536 3.0 12.0 62.0 50 40
E 1440.343982380 55.0 100.0 28.0 50 40
H 1440.347837224 3.0 11.0 58.0 50 40
E 1440.393098132 60.0 100.0 26.0 50 40
H 1440.396950470 3.0 11.0 52.0 50 40
E 1440.451787224 66.0 100.0 24.0 50 40
H 1440.455740894 3.0 10.0 46.0 50 40
E 1440.500789450 71.0 100.0 22.0 50 40
H 1440.504641760 3.0 11.0 40.0 50 40
E 1440.549792600 76.0 100.0 21.0 50 40
H 1440.553647024 4.0 11.0 36.0 50 40
E 1440.598907484 82.0 100.0 20.0 50 40
H 1440.602893452 4.0 11.0 32.0 50 40
E 1440.657596716 89.0 100.0 20.0 50 40
H 1440.661449516 4.0 11.0 27.0 50 40
E 1440.706598858 94.0 100.0 19.0 50 40
H 1440.710553788 4.0 10.0 24.0 50 40
E 1440.755601112 99.0 100.0 18.0 50 40
H 1440.759586212 4.0 10.0 21.0 50 40
E 1440.804716738 104.0 100.0 18.0 50 40
H 1440.808655946 4.0 10.0 19.0 50 40
E 1440.863406124 109.0 100.0 17.0 50 40
H 1440.867348818 4.0 9.0 16.0 50 40
E 1440.912408294 113.0 100.0 17.0 50 40
H 1440.916482378 4.0 9.0 15.0 50 40
E 1440.961410548 117.0 100.0 16.0 50 40
H 1440.965454504 4.0 9.0 13.0 50 40
E 1441.030526524 121.0 100.0 16.0 50 40
H 1441.034380052 5.0 9.0 12.0 50 40
E 1441.089215490 124.0 100.0 16.0 50 40
H 1441.093069340 5.0 8.0 10.0 50 40
E 1441.138217744 126.0 100.0 16.0 50 40
H 1441.142302622 5.0 8.0 9.0 50 40
E 1441.187220026 127.0 100.0 15.0 50 40
H 1441.191261112 5.0 8.0 9.0 50 40
E 1441.236335568 128.0 100.0 15.0 50 40
H 1441.240278934 5.0 8.0 8.0 50 40
E 1441.295024800 128.0 100.0 13.0 50 40
H 1441.298960536 5.0 9.0 9.0 50 40
E 1441.344027096 128.0 92.0 12.0 50 40
H 1441.347793012 5.0 8.0 11.0 50 40
E 1441.393029322 128.0 82.0 12.0 50 40
H 1441.396939494 5.0 8.0 16.0 50 40
E 1441.442145116 127.0 71.0 12.0 50 40
H 1441.446013568 5.0 8.0 21.0 50 40
E 1441.500834152 127.0 62.0 14.0 50 40
