device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value
E 1826.691614686 93.0 9.0 5.0 20 20 1775
H 1826.695085538 96.0 37.0 5.0 20 20 1775
E 1826.740817182 93.0 9.0 5.0 20 20 1774
H 1826.744143204 97.0 37.0 5.0 20 20 1774
E 1826.799421504 93.0 9.0 4.0 20 20 1774
H 1826.802834676 97.0 36.0 4.0 20 20 1774
E 1826.848423968 93.0 9.0 4.0 20 20 1773
H 1826.851751950 96.0 34.0 4.0 20 20 1772
E 1826.897569134 93.0 9.0 4.0 20 20 1771
H 1826.900891978 97.0 30.0 4.0 20 20 1771
E 1826.947096570 93.0 9.0 4.0 20 20 1774
H 1826.950565504 97.0 26.0 4.0 20 20 1774
E 1827.025355554 93.0 8.0 4.0 20 20 1775
H 1827.028593222 96.0 22.0 5.0 20 20 1776
E 1827.074236498 93.0 8.0 4.0 20 20 1778
H 1827.077598108 96.0 23.0 9.0 20 20 1778
E 1827.123238976 93.0 8.0 4.0 20 20 1777
H 1827.126567070 96.0 30.0 18.0 20 20 1777
E 1827.172498242 93.0 8.0 4.0 20 20 1777
H 1827.175826588 96.0 40.0 27.0 20 20 1777
E 1827.231189154 93.0 8.0 4.0 20 20 1777
H 1827.234517388 96.0 50.0 34.0 20 20 1776
E 1827.280047348 93.0 8.0 4.0 20 20 1777
H 1827.283514532 96.0 56.0 33.0 20 20 1778
E 1827.329138894 93.0 8.0 4.0 20 20 1778
H 1827.332466288 97.0 62.0 32.0 20 20 1778
E 1827.378166348 93.0 8.0 4.0 20 20 1778
H 1827.381580234 97.0 66.0 31.0 20 20 1778
E 1827.436856630 93.0 8.0 4.0 20 20 1779
H 1827.440270236 97.0 65.0 31.0 20 20 1780
E 1827.485859094 93.0 8.0 4.0 20 20 1779
H 1827.489186488 97.0 58.0 31.0 20 20 1780
E 1827.535005268 93.0 8.0 4.0 20 20 1779
H 1827.538331892 97.0 52.0 29.0 20 20 1779
E 1827.583975546 93.0 7.0 4.0 20 20 1778
H 1827.587444200 97.0 46.0 26.0 20 20 1777
E 1827.642667228 93.0 7.0 4.0 20 20 1776
H 1827.646138206 97.0 39.0 25.0 20 20 1774
E 1827.691794152 93.0 7.0 4.0 20 20 1773
H 1827.695122232 97.0 35.0 26.0 20 20 1770
E 1827.740673738 93.0 7.0 4.0 20 20 1768
H 1827.744123716 97.0 31.0 25.0 20 20 1768
E 1827.789789672 93.0 7.0 4.0 20 20 1768
H 1827.793113216 97.0 28.0 23.0 20 20 1768
E 1827.848624616 93.0 6.0 4.0 20 20 1768
H 1827.851952850 97.0 24.0 20.0 20 20 1768
E 1827.897479450 93.0 6.0 3.0 20 20 1768
H 1827.900948230 97.0 22.0 19.0 20 20 1768
E 1827.946609370 93.0 6.0 3.0 20 20 1768
H 1827.949936778 97.0 20.0 17.0 20 20 1767
E 1828.015601838 93.0 7.0 3.0 20 20 1770
H 1828.018960606 97.0 18.0 15.0 20 20 1770
E 1828.074289110 93.0 7.0 3.0 20 20 1773
H 1828.077522704 97.0 15.0 12.0 20 20 1773
E 1828.123435690 93.0 7.0 3.0 20 20 1773
H 1828.126763658 97.0 14.0 11.0 20 20 1774
E 1828.172294080 93.0 7.0 3.0 20 20 1775
H 1828.175764610 97.0 14.0 10.0 20 20 1777
E 1828.221537848 93.0 7.0 3.0 20 20 1777
H 1828.224866460 97.0 14.0 9.0 20 20 1777
E 1828.280229754 93.0 6.0 3.0 20 20 1778
H 1828.283557106 97.0 14.0 8.0 20 20 1778
E 1828.329106372 93.0 6.0 3.0 20 20 1778
H 1828.332559626 97.0 16.0 9.0 20 20 1778
E 1828.378108822 93.0 6.0 4.0 20 20 1778
H 1828.381433766 97.0 21.0 12.0 20 20 1778
E 1828.427368340 93.0 6.0 4.0 20 20 1778
H 1828.430695734 97.0 26.0 17.0 20 20 1778
E 1828.486056046 93.0 6.0 4.0 20 20 1778
H 1828.489382558 97.0 36.0 20.0 20 20 1778
E 1828.534915472 93.0 7.0 4.0 20 20 1777
H 1828.538385778 97.0 42.0 20.0 20 20 1777
E 1828.584009048 93.0 7.0 4.0 20 20 1776
H 1828.587334776 97.0 41.0 19.0 20 20 1776
