device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value
E 1864.555972676 111.0 30.0 12.0 20 20 1790
H 1864.559867336 97.0 80.0 32.0 20 20 1789
E 1864.605087588 111.0 30.0 11.0 20 20 1789
H 1864.608853784 97.0 76.0 32.0 20 20 1790
E 1864.663777562 111.0 29.0 11.0 20 20 1790
H 1864.667545410 97.0 76.0 31.0 20 20 1789
E 1864.712779844 111.0 28.0 11.0 20 20 1786
H 1864.716547720 97.0 75.0 30.0 20 20 1789
E 1864.761781986 111.0 27.0 10.0 20 20 1788
H 1864.765638748 97.0 73.0 29.0 20 20 1784
E 1864.811788292 111.0 26.0 10.0 20 20 1785
H 1864.815555510 97.0 71.0 28.0 20 20 1786
E 1864.869587082 110.0 24.0 9.0 20 20 1783
H 1864.873178726 97.0 70.0 28.0 20 20 1782
E 1864.918589280 111.0 22.0 9.0 20 20 1781
H 1864.922180462 97.0 71.0 27.0 20 20 1776
E 1864.967591492 110.0 20.0 8.0 20 20 1772
H 1864.971183108 97.0 72.0 27.0 20 20 1773
E 1865.036705200 109.0 18.0 8.0 20 20 1762
H 1865.040294324 97.0 73.0 27.0 20 20 1750
E 1865.095396448 108.0 16.0 7.0 20 20 1743
H 1865.099039542 97.0 75.0 29.0 20 20 1739
E 1865.144398730 108.0 15.0 7.0 20 20 1739
H 1865.147990598 97.0 76.0 30.0 20 20 1739
E 1865.193400872 108.0 13.0 7.0 20 20 1739
H 1865.196992040 97.0 78.0 30.0 20 20 1741
E 1865.242514594 107.0 12.0 7.0 20 20 1741
H 1865.246107092 97.0 78.0 29.0 20 20 1741
E 1865.301205730 107.0 11.0 8.0 20 20 1739
H 1865.304884468 97.0 78.0 29.0 20 20 1740
E 1865.350208054 107.0 10.0 10.0 20 20 1740
H 1865.354116546 97.0 82.0 30.0 20 20 1741
E 1865.399210238 106.0 10.0 12.0 20 20 1742
H 1865.402978128 97.0 84.0 36.0 20 20 1740
E 1865.448324436 105.0 10.0 15.0 20 20 1741
H 1865.452090310 97.0 85.0 44.0 20 20 1743
E 1865.507015138 104.0 9.0 17.0 20 20 1742
H 1865.510605620 97.0 85.0 52.0 20 20 1742
E 1865.556017336 104.0 9.0 21.0 20 20 1739
H 1865.559696102 97.0 84.0 53.0 20 20 1739
E 1865.605019688 103.0 9.0 24.0 20 20 1739
H 1865.608751640 97.0 83.0 54.0 20 20 1740
E 1865.654133760 103.0 9.0 28.0 20 20 1741
H 1865.657724676 97.0 80.0 54.0 20 20 1741
E 1865.712824854 101.0 10.0 32.0 20 20 1740
H 1865.716592366 97.0 79.0 54.0 20 20 1740
E 1865.761826786 97.0 10.0 33.0 20 20 1739
H 1865.765506448 97.0 83.0 53.0 20 20 1740
E 1865.810829054 93.0 9.0 33.0 20 20 1738
H 1865.814419256 97.0 86.0 52.0 20 20 1738
E 1865.859943084 89.0 9.0 36.0 20 20 1739
H 1865.863543912 97.0 88.0 51.0 20 20 1738
E 1865.918633968 84.0 9.0 40.0 20 20 1739
H 1865.922136922 97.0 87.0 48.0 20 20 1739
E 1865.967636278 79.0 9.0 41.0 20 20 1738
H 1865.971139708 97.0 86.0 47.0 20 20 1739
E 1866.036638448 74.0 9.0 40.0 20 20 1738
H 1866.040052656 97.0 87.0 45.0 20 20 1739
E 1866.085752492 69.0 9.0 41.0 20 20 1739
H 1866.089285098 96.0 88.0 42.0 20 20 1738
E 1866.144443586 64.0 9.0 42.0 20 20 1737
H 1866.148044932 97.0 89.0 39.0 20 20 1738
E 1866.193445672 60.0 10.0 43.0 20 20 1738
H 1866.197120672 97.0 88.0 37.0 20 20 1737
E 1866.242447982 55.0 10.0 46.0 20 20 1737
H 1866.246127434 97.0 87.0 35.0 20 20 1735
E 1866.291561984 50.0 11.0 48.0 20 20 1732
H 1866.295241856 97.0 86.0 33.0 20 20 1733
E 1866.350252882 45.0 11.0 51.0 20 20 1732
H 1866.354019414 97.0 86.0 31.0 20 20 1732
E 1866.399255206 40.0 12.0 52.0 20 20 1732
H 1866.403033204 97.0 89.0 30.0 20 20 1732
E 1866.448257250 36.0 12.0 54.0 20 20 1732
H 1866.451936996 97.0 89.0 28.0 20 20 1732
E 1866.497371378 31.0 13.0 56.0 20 20 1732
H 1866.501052188 97.0 88.0 26.0 20 20 1733
E 1866.556062248 25.0 14.0 65.0 20 20 1733
H 1866.559740930 96.0 89.0 25.0 20 20 1736
E 1866.605064404 20.0 14.0 74.0 20 20 1737
H 1866.608829956 97.0 91.0 25.0 20 20 1737
E 1866.654066812 13.0 15.0 78.0 20 20 1737
H 1866.657843802 97.0 91.0 24.0 20 20 1737
E 1866.703180884 7.0 15.0 80.0 20 20 1737
H 1866.706771016 96.0 90.0 23.0 20 20 1737
E 1866.761871684 2.0 16.0 83.0 20 20 1737
H 1866.765460752 97.0 91.0 21.0 20 20 1737
E 1866.810873896 2.0 16.0 84.0 20 20 1737
H 1866.814464042 97.0 90.0 21.0 20 20 1736
E 1866.859876374 2.0 17.0 83.0 20 20 1737
H 1866.863555476 97.0 90.0 20.0 20 20 1735
E 1866.909828472 2.0 17.0 82.0 20 20 1735
H 1866.913418590 97.0 89.0 19.0 20 20 1736
E 1866.967681148 2.0 16.0 81.0 20 20 1734
H 1866.971272442 97.0 88.0 18.0 20 20 1734
E 1867.036683248 3.0 16.0 79.0 20 20 1735
H 1867.040273268 97.0 88.0 18.0 20 20 1737
E 1867.085685614 2.0 16.0 78.0 20 20 1737
H 1867.089187756 97.0 88.0 17.0 20 20 1737
E 1867.134799588 2.0 15.0 75.0 20 20 1739
H 1867.138391148 97.0 88.0 16.0 20 20 1740
E 1867.193490416 3.0 15.0 73.0 20 20 1739
H 1867.197169728 97.0 89.0 16.0 20 20 1740
E 1867.242492726 3.0 16.0 73.0 20 20 1741
H 1867.246083642 97.0 90.0 15.0 20 20 1740
E 1867.291494770 2.0 17.0 72.0 20 20 1741
H 1867.295173690 97.0 90.0 15.0 20 20 1742
E 1867.340609010 2.0 17.0 70.0 20 20 1743
H 1867.344197868 97.0 90.0 14.0 20 20 1745
E 1867.399299824 2.0 16.0 68.0 20 20 1745
H 1867.402891244 97.0 91.0 14.0 20 20 1748
E 1867.448302092 2.0 16.0 67.0 20 20 1750
H 1867.451981670 97.0 90.0 13.0 20 20 1753
E 1867.497304206 3.0 16.0 67.0 20 20 1753
H 1867.500894562 96.0 89.0 13.0 20 20 1753
E 1867.546418502 2.0 15.0 68.0 20 20 1755
H 1867.550097604 97.0 88.0 14.0 20 20 1756
E 1867.605109274 3.0 14.0 66.0 20 20 1757
E 1870.085931874 101.0 38.0 15.0 10 10 1760
H 1870.089697958 97.0 62.0 28.0 10 10 1759
E 1870.144622688 104.0 39.0 15.0 10 10 1758
H 1870.148390410 97.0 61.0 28.0 10 10 1756
E 1870.193624844 106.0 38.0 14.0 10 10 1759
H 1870.197480668 97.0 58.0 29.0 10 10 1760
E 1870.242627084 108.0 39.0 14.0 10 10 1761
H 1870.246393868 97.0 56.0 29.0 10 10 1762
E 1870.291741058 110.0 39.0 14.0 10 10 1764
H 1870.295508010 97.0 54.0 30.0 10 10 1760
E 1870.350432194 111.0 38.0 14.0 10 10 1762
H 1870.354300814 97.0 52.0 31.0 10 10 1762
E 1870.399434168 112.0 38.0 13.0 10 10 1761
H 1870.403201610 97.0 49.0 32.0 10 10 1762
E 1870.448436506 113.0 37.0 13.0 10 10 1761
H 1870.452292120 97.0 46.0 32.0 10 10 1761
E 1870.497550354 114.0 37.0 13.0 10 10 1761
H 1870.501314142 97.0 42.0 33.0 10 10 1763
E 1870.556241532 114.0 36.0 12.0 10 10 1762
H 1870.560009268 97.0 39.0 33.0 10 10 1760
E 1870.605243772 115.0 34.0 12.0 10 10 1761
H 1870.609112168 97.0 38.0 34.0 10 10 1760
E 1870.654245788 116.0 33.0 11.0 10 10 1759
H 1870.658013734 97.0 36.0 35.0 10 10 1760
E 1870.703362240 115.0 32.0 11.0 10 10 1760
H 1870.707252028 97.0 35.0 36.0 10 10 1760
E 1870.762050842 115.0 30.0 10.0 10 10 1761
H 1870.765817472 97.0 34.0 35.0 10 10 1761
E 1870.811053040 115.0 29.0 10.0 10 10 1762
H 1870.814818914 97.0 31.0 34.0 10 10 1761
E 1870.860055322 116.0 27.0 9.0 10 10 1760
H 1870.863745890 97.0 29.0 33.0 10 10 1759
E 1870.909171564 116.0 26.0 9.0 10 10 1759
H 1870.912759540 97.0 26.0 33.0 10 10 1759
E 1870.967860152 116.0 24.0 8.0 10 10 1761
H 1870.971544616 97.0 24.0 34.0 10 10 1759
E 1871.036862476 115.0 23.0 8.0 10 10 1759
H 1871.040364590 96.0 22.0 33.0 10 10 1759
E 1871.085864744 115.0 22.0 7.0 10 10 1759
H 1871.089364688 94.0 21.0 32.0 10 10 1757
E 1871.135832452 115.0 21.0 7.0 10 10 1759
H 1871.139517896 93.0 19.0 31.0 10 10 1756
E 1871.193669518 115.0 20.0 7.0 10 10 1759
H 1871.197261176 91.0 18.0 30.0 10 10 1759
E 1871.242671800 115.0 19.0 7.0 10 10 1760
H 1871.246259482 89.0 17.0 29.0 10 10 1761
E 1871.291674124 115.0 19.0 7.0 10 10 1760
H 1871.295266048 87.0 15.0 28.0 10 10 1761
E 1871.340789190 115.0 19.0 6.0 10 10 1760
H 1871.344379448 85.0 14.0 26.0 10 10 1759
E 1871.399479094 115.0 19.0 6.0 10 10 1760
H 1871.403270028 83.0 13.0 24.0 10 10 1761
E 1871.448481180 115.0 19.0 6.0 10 10 1759
H 1871.452072236 82.0 13.0 23.0 10 10 1761
E 1871.497483448 115.0 18.0 6.0 10 10 1760
H 1871.501074994 80.0 12.0 22.0 10 10 1758
E 1871.546598668 115.0 17.0 5.0 10 10 1758
H 1871.550190494 79.0 11.0 22.0 10 10 1758
E 1871.605288460 115.0 16.0 5.0 10 10 1758
H 1871.608878634 77.0 11.0 22.0 10 10 1758
E 1871.654290784 115.0 15.0 5.0 10 10 1758
H 1871.658081956 76.0 10.0 21.0 10 10 1758
E 1871.703292786 115.0 15.0 5.0 10 10 1758
H 1871.706883394 74.0 10.0 21.0 10 10 1759
E 1871.752409014 115.0 15.0 5.0 10 10 1759
H 1871.755998754 73.0 9.0 21.0 10 10 1759
E 1871.811097812 115.0 15.0 5.0 10 10 1759
H 1871.814688238 71.0 9.0 21.0 10 10 1758
E 1871.860099940 115.0 15.0 5.0 10 10 1759
H 1871.863688994 69.0 9.0 21.0 10 10 1760
E 1871.909102264 115.0 14.0 5.0 10 10 1760
H 1871.912914170 67.0 9.0 22.0 10 10 1759
E 1871.958218786 114.0 14.0 5.0 10 10 1760
H 1871.961810584 64.0 9.0 23.0 10 10 1759
E 1872.036907164 113.0 14.0 5.0 10 10 1760
H 1872.040409768 61.0 9.0 23.0 10 10 1760
E 1872.085909502 113.0 14.0 5.0 10 10 1761
H 1872.089407976 59.0 10.0 24.0 10 10 1761
E 1872.134911616 112.0 14.0 5.0 10 10 1760
H 1872.138500292 56.0 10.0 24.0 10 10 1760
E 1872.184024330 112.0 14.0 5.0 10 10 1758
H 1872.187854800 53.0 11.0 25.0 10 10 1759
E 1872.242716796 112.0 15.0 5.0 10 10 1757
H 1872.246306396 50.0 12.0 25.0 10 10 1758
E 1872.291718868 112.0 15.0 5.0 10 10 1757
H 1872.295308258 48.0 12.0 25.0 10 10 1756
E 1872.340721010 111.0 15.0 5.0 10 10 1757
H 1872.344310540 46.0 12.0 26.0 10 10 1756
E 1872.389837672 111.0 15.0 5.0 10 10 1755
H 1872.393429652 43.0 13.0 25.0 10 10 1754
E 1872.448525994 111.0 15.0 5.0 10 10 1756
H 1872.452391926 41.0 13.0 24.0 10 10 1755
E 1872.497528304 111.0 14.0 5.0 10 10 1752
H 1872.501119738 39.0 13.0 24.0 10 10 1754
E 1872.546530600 110.0 14.0 4.0 10 10 1753
H 1872.550121306 37.0 13.0 24.0 10 10 1753
E 1872.595646772 110.0 14.0 4.0 10 10 1753
H 1872.599238878 35.0 13.0 24.0 10 10 1754
E 1872.654335486 110.0 14.0 5.0 10 10 1752
H 1872.657925142 33.0 14.0 25.0 10 10 1754
E 1872.703337768 109.0 13.0 5.0 10 10 1754
H 1872.707170534 30.0 14.0 26.0 10 10 1753
E 1872.752339910 109.0 13.0 5.0 10 10 1752
H 1872.755931106 27.0 17.0 27.0 10 10 1752
E 1872.801456628 109.0 13.0 5.0 10 10 1752
H 1872.805047866 25.0 19.0 27.0 10 10 1752
E 1872.860144838 109.0 13.0 5.0 10 10 1751
H 1872.863736146 24.0 21.0 29.0 10 10 1750
E 1872.909147176 109.0 13.0 5.0 10 10 1752
H 1872.912736118 24.0 21.0 29.0 10 10 1753
E 1872.958149290 109.0 13.0 5.0 10 10 1751
H 1872.962028564 24.0 20.0 29.0 10 10 1749
E 1873.027265966 109.0 12.0 5.0 10 10 1751
H 1873.030766372 24.0 20.0 29.0 10 10 1753
E 1873.085954470 109.0 12.0 5.0 10 10 1750
H 1873.089457088 24.0 21.0 29.0 10 10 1751
E 1873.134956402 109.0 12.0 5.0 10 10 1753
H 1873.138548256 24.0 22.0 30.0 10 10 1753
E 1873.183958600 109.0 12.0 4.0 10 10 1753
H 1873.187550230 24.0 23.0 31.0 10 10 1752
E 1873.234112760 109.0 12.0 5.0 10 10 1753
H 1873.237704222 24.0 24.0 31.0 10 10 1753
E 1873.291763570 109.0 12.0 5.0 10 10 1754
H 1873.295355368 24.0 28.0 31.0 10 10 1755
E 1873.340765810 109.0 12.0 5.0 10 10 1753
H 1873.344356880 24.0 31.0 31.0 10 10 1754
E 1873.389768190 109.0 12.0 5.0 10 10 1754
H 1873.393504384 24.0 33.0 31.0 10 10 1754
E 1873.438884796 109.0 12.0 5.0 10 10 1754
H 1873.442476552 24.0 34.0 31.0 10 10 1754
E 1873.497573188 109.0 12.0 4.0 10 10 1754
H 1873.501308738 24.0 34.0 30.0 10 10 1754
E 1873.546575218 109.0 11.0 4.0 10 10 1754
H 1873.550166904 24.0 31.0 28.0 10 10 1755
E 1873.595577626 109.0 11.0 4.0 10 10 1755
H 1873.599169536 25.0 29.0 26.0 10 10 1755
E 1873.644694428 109.0 12.0 5.0 10 10 1756
H 1873.648415404 26.0 26.0 24.0 10 10 1755
E 1873.703382456 109.0 12.0 5.0 10 10 1757
H 1873.706973988 26.0 23.0 22.0 10 10 1760
E 1873.752384766 109.0 12.0 5.0 10 10 1759
H 1873.756120512 27.0 23.0 21.0 10 10 1759
E 1873.801386922 109.0 12.0 5.0 10 10 1759
H 1873.804978566 28.0 25.0 20.0 10 10 1760
E 1873.850503738 109.0 12.0 5.0 10 10 1758
H 1873.854094752 28.0 28.0 20.0 10 10 1757
E 1873.909191710 109.0 12.0 5.0 10 10 1760
H 1873.912881130 29.0 32.0 20.0 10 10 1760
E 1873.958194062 109.0 12.0 5.0 10 10 1760
H 1873.961785958 31.0 33.0 19.0 10 10 1761
E 1874.027196344 109.0 12.0 5.0 10 10 1761
H 1874.030841286 34.0 32.0 19.0 10 10 1761
E 1874.076313216 109.0 12.0 5.0 10 10 1761
H 1874.079816170 37.0 31.0 18.0 10 10 1761
E 1874.135001440 109.0 13.0 5.0 10 10 1760
H 1874.138591964 41.0 28.0 17.0 10 10 1760
E 1874.184003456 109.0 13.0 4.0 10 10 1761
H 1874.187772676 43.0 26.0 17.0 10 10 1762
E 1874.233005752 109.0 13.0 4.0 10 10 1763
H 1874.236596878 45.0 24.0 16.0 10 10 1763
E 1874.282122708 109.0 13.0 4.0 10 10 1763
H 1874.285856844 45.0 22.0 17.0 10 10 1763
E 1874.340810694 109.0 12.0 4.0 10 10 1764
H 1874.344401512 45.0 20.0 17.0 10 10 1764
E 1874.389812948 109.0 12.0 4.0 10 10 1764
H 1874.393404970 45.0 19.0 17.0 10 10 1764
E 1874.438815034 109.0 12.0 4.0 10 10 1764
H 1874.442534974 45.0 19.0 17.0 10 10 1763
E 1874.487931822 109.0 12.0 4.0 10 10 1764
H 1874.491523438 45.0 19.0 17.0 10 10 1761
E 1874.546620088 109.0 12.0 5.0 10 10 1761
H 1874.550351788 45.0 19.0 17.0 10 10 1762
E 1874.595622356 109.0 12.0 5.0 10 10 1761
H 1874.599214224 45.0 19.0 17.0 10 10 1761
E 1874.644624610 109.0 12.0 5.0 10 10 1761
H 1874.648215778 45.0 20.0 17.0 10 10 1761
E 1874.693741314 109.0 12.0 5.0 10 10 1761
H 1874.697474134 45.0 20.0 18.0 10 10 1761
E 1874.752429482 109.0 12.0 5.0 10 10 1762
H 1874.756021448 46.0 22.0 18.0 10 10 1761
E 1874.801431708 109.0 12.0 5.0 10 10 1760
H 1874.805165508 46.0 23.0 20.0 10 10 1760
E 1874.850434018 109.0 11.0 5.0 10 10 1760
H 1874.854022946 46.0 25.0 21.0 10 10 1759
E 1874.899550708 109.0 11.0 4.0 10 10 1758
H 1874.903142100 46.0 26.0 21.0 10 10 1758
E 1874.958238806 109.0 11.0 4.0 10 10 1757
H 1874.961971080 46.0 28.0 22.0 10 10 1756
E 1875.027241158 109.0 11.0 4.0 10 10 1756
H 1875.030743804 46.0 29.0 23.0 10 10 1757
E 1875.076243454 109.0 10.0 4.0 10 10 1756
H 1875.079889348 46.0 30.0 24.0 10 10 1757
E 1875.125360032 109.0 10.0 5.0 10 10 1756
H 1875.128951214 46.0 32.0 25.0 10 10 1756
E 1875.184048256 109.0 11.0 4.0 10 10 1755
H 1875.187639060 46.0 35.0 27.0 10 10 1756
E 1875.233050580 109.0 11.0 4.0 10 10 1756
H 1875.236781790 46.0 37.0 28.0 10 10 1756
E 1875.282052652 109.0 10.0 4.0 10 10 1756
H 1875.285643820 46.0 39.0 29.0 10 10 1757
E 1875.332062136 109.0 10.0 5.0 10 10 1757
H 1875.335653444 47.0 42.0 31.0 10 10 1756
E 1875.389857622 109.0 10.0 5.0 10 10 1756
H 1875.393551354 52.0 45.0 32.0 10 10 1758
E 1875.438859946 109.0 10.0 5.0 10 10 1758
H 1875.442451352 57.0 47.0 32.0 10 10 1757
E 1875.487862130 109.0 10.0 5.0 10 10 1757
H 1875.491596910 61.0 46.0 30.0 10 10 1756
E 1875.536978848 109.0 10.0 5.0 10 10 1757
H 1875.540568364 66.0 42.0 28.0 10 10 1757
E 1875.595667128 109.0 10.0 5.0 10 10 1757
H 1875.599259192 70.0 38.0 26.0 10 10 1755
E 1875.644669214 109.0 10.0 5.0 10 10 1757
H 1875.648363310 73.0 35.0 25.0 10 10 1756
E 1875.693671636 109.0 10.0 5.0 10 10 1756
H 1875.697263770 75.0 32.0 24.0 10 10 1756
E 1875.742788228 109.0 10.0 5.0 10 10 1757
H 1875.746523330 75.0 29.0 23.0 10 10 1757
E 1875.801476396 109.0 10.0 5.0 10 10 1756
H 1875.805067410 75.0 27.0 21.0 10 10 1755
E 1875.850478762 109.0 10.0 5.0 10 10 1756
H 1875.854069650 75.0 25.0 21.0 10 10 1756
E 1875.899481086 109.0 10.0 5.0 10 10 1755
H 1875.903212772 75.0 24.0 20.0 10 10 1757
E 1875.948597720 109.0 10.0 5.0 10 10 1755
H 1875.952186242 75.0 23.0 20.0 10 10 1756
E 1876.027286238 109.0 10.0 4.0 10 10 1756
H 1876.030932146 75.0 21.0 20.0 10 10 1754
E 1876.076288072 109.0 10.0 4.0 10 10 1756
H 1876.079788226 75.0 19.0 19.0 10 10 1755
E 1876.125290438 109.0 10.0 4.0 10 10 1756
H 1876.128882628 75.0 17.0 19.0 10 10 1756
E 1876.174407296 109.0 11.0 4.0 10 10 1755
H 1876.178138646 75.0 16.0 19.0 10 10 1756
E 1876.233095268 109.0 11.0 4.0 10 10 1754
H 1876.236686338 75.0 15.0 19.0 10 10 1756
E 1876.282097522 109.0 11.0 4.0 10 10 1759
H 1876.285831378 75.0 14.0 19.0 10 10 1759
E 1876.331099664 109.0 11.0 4.0 10 10 1759
H 1876.334688270 75.0 13.0 19.0 10 10 1760
E 1876.380214422 109.0 11.0 4.0 10 10 1761
H 1876.383804750 74.0 12.0 19.0 10 10 1761
E 1876.438904774 109.0 10.0 4.0 10 10 1762
H 1876.442623860 74.0 11.0 20.0 10 10 1764
E 1876.487906930 109.0 10.0 4.0 10 10 1762
H 1876.491495256 74.0 10.0 20.0 10 10 1762
E 1876.536909086 109.0 10.0 4.0 10 10 1762
H 1876.540640870 73.0 9.0 20.0 10 10 1763
E 1876.586024880 109.0 10.0 4.0 10 10 1764
H 1876.589613206 71.0 9.0 21.0 10 10 1764
E 1876.644714210 109.0 10.0 4.0 10 10 1765
H 1876.648305742 68.0 9.0 22.0 10 10 1765
E 1876.693716380 109.0 10.0 4.0 10 10 1765
H 1876.697406640 66.0 8.0 23.0 10 10 1765
E 1876.742718648 109.0 10.0 4.0 10 10 1765
H 1876.746310950 63.0 8.0 22.0 10 10 1766
E 1876.791835240 109.0 10.0 4.0 10 10 1766
H 1876.795566478 61.0 8.0 22.0 10 10 1765
E 1876.850523548 109.0 10.0 4.0 10 10 1765
H 1876.854114282 57.0 7.0 22.0 10 10 1765
E 1876.899525774 109.0 10.0 4.0 10 10 1765
H 1876.903117782 55.0 7.0 21.0 10 10 1765
E 1876.948528196 109.0 10.0 4.0 10 10 1765
H 1876.952219086 52.0 7.0 21.0 10 10 1765
E 1877.017644802 109.0 10.0 4.0 10 10 1763
H 1877.021146832 50.0 7.0 21.0 10 10 1764
E 1877.076332900 109.0 10.0 4.0 10 10 1765
H 1877.079975420 47.0 7.0 20.0 10 10 1764
E 1877.125335252 109.0 11.0 4.0 10 10 1764
H 1877.128927176 44.0 6.0 20.0 10 10 1761
E 1877.174337366 109.0 11.0 4.0 10 10 1760
H 1877.177928618 42.0 6.0 20.0 10 10 1759
E 1877.223454238 109.0 11.0 4.0 10 10 1757
H 1877.227142664 39.0 7.0 21.0 10 10 1759
E 1877.282142476 109.0 10.0 4.0 10 10 1758
H 1877.285734428 36.0 7.0 21.0 10 10 1757
E 1877.331144562 109.0 10.0 4.0 10 10 1758
H 1877.334879244 34.0 7.0 20.0 10 10 1758
E 1877.380146816 109.0 10.0 4.0 10 10 1758
H 1877.383735184 32.0 7.0 20.0 10 10 1758
E 1877.430013290 109.0 10.0 4.0 10 10 1757
H 1877.433792058 30.0 7.0 21.0 10 10 1758
E 1877.487951660 109.0 10.0 4.0 10 10 1758
H 1877.491543276 28.0 7.0 21.0 10 10 1758
E 1877.536953956 109.0 10.0 4.0 10 10 1758
H 1877.540642298 25.0 7.0 21.0 10 10 1758
E 1877.585956098 109.0 10.0 4.0 10 10 1758
H 1877.589546846 24.0 8.0 19.0 10 10 1759
E 1877.635073180 109.0 10.0 4.0 10 10 1758
H 1877.638806966 22.0 8.0 18.0 10 10 1758
E 1877.693761292 109.0 9.0 4.0 10 10 1757
H 1877.697177208 21.0 8.0 18.0 10 10 1757
E 1877.742763406 109.0 9.0 4.0 10 10 1758
H 1877.746178734 21.0 8.0 17.0 10 10 1758
E 1877.791765478 109.0 10.0 4.0 10 10 1758
H 1877.795483402 22.0 9.0 16.0 10 10 1759
E 1877.840880922 109.0 10.0 4.0 10 10 1757
H 1877.844468772 22.0 10.0 16.0 10 10 1759
E 1877.899570532 109.0 10.0 4.0 10 10 1759
H 1877.903304738 22.0 13.0 16.0 10 10 1760
E 1877.948572842 109.0 10.0 4.0 10 10 1758
H 1877.952164584 23.0 15.0 17.0 10 10 1759
E 1878.017575026 109.0 9.0 4.0 10 10 1759
H 1878.020900866 23.0 17.0 19.0 10 10 1758
E 1878.066690162 109.0 10.0 4.0 10 10 1757
H 1878.070334432 23.0 20.0 20.0 10 10 1757
E 1878.125379996 109.0 9.0 4.0 10 10 1756
H 1878.128795590 24.0 26.0 21.0 10 10 1756
E 1878.174382194 109.0 9.0 4.0 10 10 1755
