"device type" time pose "pose - last_pose" vel "comanded vel" "Nocap C_vel"
H 1407.583438380 93.0 0.0 61.092878280938756 89.94000000000001 89.94000000000001
E 1407.628776484 120.0 0.0 40.71955360301206 599.6 100
H 1407.632559550 94.0 0.0 20.357821281522597 49.96666666666667 49.96666666666667
E 1407.687465002 120.0 0.0 0.0 589.6066666666667 100
H 1407.691143670 95.0 0.0 17.069472068546574 19.986666666666668 19.986666666666668
E 1407.736467242 120.0 0.0 0.0 599.6 100
H 1407.740146582 95.0 0.0 0.0 0 0
E 1407.785469370 120.0 0.0 0.0 599.6 100
H 1407.789146078 95.0 0.0 0.0 0 0
E 1407.834585920 120.0 0.0 0.0 529.6466666666668 100
H 1407.838363666 95.0 0.0 0.0 0 0
E 1407.893274382 120.0 0.0 0.0 449.70000000000005 100
H 1407.897172920 95.0 0.0 0.0 0 0
E 1407.942276594 120.0 0.0 0.0 359.76000000000005 100
H 1407.946131928 94.0 0.0 -20.42525044620466 0 0
E 1408.011278932 120.0 0.0 0.0 249.83333333333334 100
H 1408.015045520 94.0 0.0 0.0 0 0
E 1408.060395496 119.0 0.0 -20.35973037533434 109.92666666666668 100
H 1408.064160740 94.0 0.0 0.0 0 0
E 1408.119083958 119.0 0.0 0.0 0 0
H 1408.123065068 93.0 0.0 -16.97668123811305 0 0
E 1408.168086184 117.0 0.0 -40.81447238736795 0 0
H 1408.172087986 93.0 0.0 0.0 0 0
E 1408.217088214 115.0 0.0 -40.81463563866162 0 0
H 1408.220941994 93.0 0.0 0.0 0 0
E 1408.266204246 114.0 0.0 -20.359950901559177 0 0
H 1408.270059244 93.0 0.0 0.0 0 0
E 1408.324893436 113.0 0.0 -17.03891295824796 0 0
H 1408.328748518 93.0 0.0 0.0 0 0
E 1408.373895354 112.0 0.0 -20.407364462688417 0 0
H 1408.377895742 93.0 0.0 0.0 0 0
E 1408.422897650 111.0 0.0 -20.4072070418796 -79.94666666666667 -79.94666666666667
H 1408.426899438 93.0 0.0 0.0 0 0
E 1408.472014508 107.0 0.0 -81.4384340302342 -189.87333333333333 -100
H 1408.475868736 93.0 0.0 0.0 0 0
E 1408.530702704 100.0 0.0 -119.27441082009479 -229.8466666666667 -100
H 1408.534467934 93.0 0.0 0.0 0 0
E 1408.579704888 94.0 0.0 -122.44352210952123 -149.9 -100
H 1408.583383052 93.0 0.0 0.0 0 0
E 1408.628707128 89.0 0.0 -102.0361518163928 -89.94000000000001 -89.94000000000001
H 1408.632479246 93.0 0.0 0.0 -9.993333333333334 -9.993333333333334
E 1408.677823580 85.0 0.0 -81.43910720602412 -49.96666666666667 -49.96666666666667
H 1408.681600570 90.0 0.0 -61.07327237352413 -19.986666666666668 -19.986666666666668
E 1408.736512196 81.0 0.0 -68.15631842476905 -9.993333333333334 -9.993333333333334
H 1408.740191550 87.0 0.0 -51.20242057739796 -29.980000000000004 -29.980000000000004
E 1408.785514268 78.0 0.0 -61.221900983953915 0 0
H 1408.789193734 85.0 0.0 -40.814507369651025 -49.96666666666667 -49.96666666666667
E 1408.834516522 77.0 0.0 -20.40722453297117 0 0
H 1408.838195470 82.0 0.0 -61.222320776508056 -79.94666666666667 -79.94666666666667
E 1408.884186324 77.0 0.0 0.0 0 0
H 1408.888008254 78.0 0.0 -80.30067141018534 -100 -100
E 1408.942321492 76.0 0.0 -17.201291995911895 0 0
H 1408.946098748 74.0 0.0 -68.85808201252554 -100 -100
E 1409.011323774 76.0 0.0 0.0 -19.986666666666668 -19.986666666666668
H 1409.014914620 69.0 0.0 -72.65765665227586 -100 -100
E 1409.060325804 73.0 0.0 -61.22195345770835 -49.96666666666667 -49.96666666666667
H 1409.063826252 63.0 0.0 -122.67020654718856 -100 -100
E 1409.109442368 69.0 0.0 -81.43892150133736 -59.96000000000001 -59.96000000000001
H 1409.113126216 57.0 0.0 -121.7039428262698 -100 -100
E 1409.168130844 65.0 0.0 -68.15648100995277 -49.96666666666667 -49.96666666666667
H 1409.171819984 51.0 0.0 -102.225503736594 -100 -100
E 1409.217133028 62.0 0.0 -61.22176105447654 -59.96000000000001 -59.96000000000001
H 1409.220721452 45.0 0.0 -122.69570312300976 -100 -100
E 1409.266135156 58.0 0.0 -81.62910802570308 -69.95333333333333 -69.95333333333333
H 1409.269726030 39.0 0.0 -122.43754042735893 -100 -100
E 1409.315251216 55.0 0.0 -61.079817884464404 -69.95333333333333 -69.95333333333333
H 1409.318842622 34.0 0.0 -101.79859384376905 -100 -100
E 1409.373940504 50.0 0.0 -85.19442253229964 -89.94000000000001 -89.94000000000001
H 1409.377629812 27.0 0.0 -119.07356007325615 -100 -100
E 1409.422942492 47.0 0.0 -61.22200593183681 -109.92666666666668 -100
