,time,psi_gyro_E,filtered_gyro_z_E,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,del_psi_gyro_E,del_gyro_z_deg_E,psi_gyro_H,filtered_gyro_z_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,del_psi_gyro_H,del_gyro_z_deg_H
1099,495.300708016,-6.384549091514813,-23.314876628320786,31.0,15.0,50,25,-0.15728091852589987,0.33460411751308783,-4.07810582821018,-79.6981256426022,61.0,67.0,50,25,-0.5551577009181474,0.9080627606279279
1100,495.349710326,-6.545007243675189,-23.05078766637829,33.0,14.0,50,25,-0.16045815216037607,0.26408896194249465,-4.625755103274586,-78.78501976302331,56.0,64.0,50,25,-0.5476492750644057,0.9131058795788789
1101,495.399572362,-6.70679953119528,-22.828064565147546,33.0,14.0,50,25,-0.16179228752009056,0.2227231012307449,-5.165895952485497,-77.86735049078946,52.0,60.0,50,25,-0.5401408492109105,0.9176692722338515
1102,495.45751517,-6.8665100171900155,-22.601179986963583,33.0,13.0,50,25,-0.15971048599473558,0.22688457818396301,-5.6985283758428755,-76.94555191826915,48.0,57.0,50,25,-0.5326324233573789,0.9217985725203164
1103,495.506517284,-7.024292202834532,-22.372398820769565,33.0,12.0,50,25,-0.15778218564451674,0.22878116619401823,-6.223652373346586,-76.02001684483466,46.0,53.0,50,25,-0.5251239975037105,0.9255350734344887
1104,495.555519454,-7.186067353197376,-22.213998743693143,34.0,12.0,50,25,-0.1617751503628435,0.158400077076422,-6.7412679449969675,-75.09110070484074,46.0,48.0,50,25,-0.5176155716503814,0.9289161399939161
1105,495.604636522,-7.352254599472239,-22.124388097348547,34.0,12.0,50,25,-0.16618724627486348,0.08961064634459603,-7.251375090793632,-74.1591251219806,47.0,45.0,50,25,-0.5101071457966642,0.9319755828601473
1106,495.663324592,-7.518743811404907,-22.04697838757837,34.0,13.0,50,25,-0.1664892119326682,0.07740970977017625,-7.753973810736659,-73.2243811255154,46.0,44.0,50,25,-0.5025987199430277,0.9347439964652011
1107,495.71232679,-7.6826583678116105,-21.945583290439437,34.0,13.0,50,25,-0.16391455640670305,0.10139509713893347,-8.249064104826376,-72.28713206057672,49.0,45.0,50,25,-0.4950902940897164,0.9372490649386691
1108,495.761328904,-7.842370936773316,-21.80267003683929,34.0,13.0,50,25,-0.15971256896170516,0.1429132536001454,-8.736645973062403,-71.34761622160875,53.0,47.0,50,25,-0.48758186823602756,0.9395158389679779
1109,495.810445944,-7.995876774674433,-21.597778299934014,35.0,12.0,50,25,-0.15350583790111738,0.20489173690527807,-9.21671941544509,-70.40604923531276,53.0,47.0,50,25,-0.480073442382686,0.9415669862959817
1110,495.869134,-8.143921564207051,-21.345883203121915,35.0,12.0,50,25,-0.14804478953261846,0.251895096812099,-9.689284431974011,-69.46262621691649,50.0,44.0,50,25,-0.4725650165289217,0.943423018396274
1111,495.918136072,-8.285383200352506,-21.03779319784644,34.0,11.0,50,25,-0.14146163614545415,0.30809000527547425,-10.154341022649438,-68.51752372132995,47.0,40.0,50,25,-0.4650565906754274,0.9451024955865392
1112,495.967138522,-8.419002269207446,-20.66351920928392,34.0,11.0,50,25,-0.1336190688549408,0.37427398856252125,-10.611889187471439,-67.57090150868835,45.0,38.0,50,25,-0.45754816482200056,0.9466222126416
1113,496.036255212,-8.54240698420968,-20.200478134185182,33.0,11.0,50,25,-0.12340471500223416,0.4630410750987366,-11.061928926439897,-66.62290414196072,45.0,40.0,50,25,-0.4500397389684583,0.947997366727634
